job	name	srch	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw
production-technician	Skilled Labor & Manufacturing	SRCH_KO0,21	https://www.glassdoor.com/Salaries/production-technician-salary-SRCH_KO0,21.htm	37276	25000	56000	2173	404	5779	$37,276	$25KLow	$56KHigh	$2,173	$404 - $5,779
packer	Skilled Labor & Manufacturing	SRCH_KO0,6	https://www.glassdoor.com/Salaries/packer-salary-SRCH_KO0,6.htm	28609	23000	37000	1166	282	5169	$28,609	$23KLow	$37KHigh	$1,166	$282 - $5,169
pipe-welder	Skilled Labor & Manufacturing	SRCH_KO0,11	https://www.glassdoor.com/Salaries/pipe-welder-salary-SRCH_KO0,11.htm	38340	27000	56000	1211	286	5684	$38,340	$27KLow	$56KHigh	$1,211	$286 - $5,684
plumber	Skilled Labor & Manufacturing	SRCH_KO0,7	https://www.glassdoor.com/Salaries/plumber-salary-SRCH_KO0,7.htm	46237	35000	65000	17680	116	53413106265604	$46,237	$35KLow	$65KHigh	$17,680	$116 - $53,413,106,265,604
mig-welder	Skilled Labor & Manufacturing	SRCH_KO0,10	https://www.glassdoor.com/Salaries/mig-welder-salary-SRCH_KO0,10.htm	38340	27000	56000	1211	286	5684	$38,340	$27KLow	$56KHigh	$1,211	$286 - $5,684
journeyman-electrician	Skilled Labor & Manufacturing	SRCH_KO0,22	https://www.glassdoor.com/Salaries/journeyman-electrician-salary-SRCH_KO0,22.htm	53794	36000	77000	2051	551	14798	$53,794	$36KLow	$77KHigh	$2,051	$551 - $14,798
network-technician	Skilled Labor & Manufacturing	SRCH_KO0,18	https://www.glassdoor.com/Salaries/network-technician-salary-SRCH_KO0,18.htm	55131	36000	68000	2157	578	9481	$55,131	$36KLow	$68KHigh	$2,157	$578 - $9,481
part-time-package-handler	Skilled Labor & Manufacturing	SRCH_KO0,25	https://www.glassdoor.com/Salaries/part-time-package-handler-salary-SRCH_KO0,25.htm	27442	23000	34000	684	244	6649	$27,442	$23KLow	$34KHigh	$684	$244 - $6,649
pipefitter	Skilled Labor & Manufacturing	SRCH_KO0,10	https://www.glassdoor.com/Salaries/pipefitter-salary-SRCH_KO0,10.htm	68265	34000	88000	807	2	1613	$68,265	$34KLow	$88KHigh	$807	$2 - $1,613
delivery-driver	Transportation	SRCH_KO0,15	https://www.glassdoor.com/Salaries/delivery-driver-salary-SRCH_KO0,15.htm	27949	20000	51000	7761	932	23118	$27,949	$20KLow	$51KHigh	$7,761	$932 - $23,118
driver	Transportation	SRCH_KO0,6	https://www.glassdoor.com/Salaries/driver-salary-SRCH_KO0,6.htm	45035	24000	66000	1815	502	12158	$45,035	$24KLow	$66KHigh	$1,815	$502 - $12,158
truck-driver	Transportation	SRCH_KO0,12	https://www.glassdoor.com/Salaries/truck-driver-salary-SRCH_KO0,12.htm	58094	37000	78000	4000	12	22932	$58,094	$37KLow	$78KHigh	$4,000	$12 - $22,932
bus-driver	Transportation	SRCH_KO0,10	https://www.glassdoor.com/Salaries/bus-driver-salary-SRCH_KO0,10.htm	30209	22000	43000	1066	200	7870	$30,209	$22KLow	$43KHigh	$1,066	$200 - $7,870
class-b-cdl-truck-driver	Transportation	SRCH_KO0,24	https://www.glassdoor.com/Salaries/class-b-cdl-truck-driver-salary-SRCH_KO0,24.htm	23	16	27	2178	2004	2352	$23	$16Low	$27High	$2,178	$2,004 - $2,352
ups	Transportation	SRCH_KO0,3	https://www.glassdoor.com/Salaries/ups-salary-SRCH_KO0,3.htm							NaN	NaN	NaN	NaN	NaN - NaN
local-truck-driver	Transportation	SRCH_KO0,18	https://www.glassdoor.com/Salaries/local-truck-driver-salary-SRCH_KO0,18.htm	53818	39000	71000	779	3	5416	$53,818	$39KLow	$71KHigh	$779	$3 - $5,416
non-cdl-delivery-driver	Transportation	SRCH_KO0,23	https://www.glassdoor.com/Salaries/non-cdl-delivery-driver-salary-SRCH_KO0,23.htm	27949	20000	51000	7761	932	23118	$27,949	$20KLow	$51KHigh	$7,761	$932 - $23,118
cdl-driver	Transportation	SRCH_KO0,10	https://www.glassdoor.com/Salaries/cdl-driver-salary-SRCH_KO0,10.htm	54465	38000	76000	1086	226	21288	$54,465	$38KLow	$76KHigh	$1,086	$226 - $21,288
class-b-driver	Transportation	SRCH_KO0,14	https://www.glassdoor.com/Salaries/class-b-driver-salary-SRCH_KO0,14.htm	30209	22000	43000	1066	200	7870	$30,209	$22KLow	$43KHigh	$1,066	$200 - $7,870
ups-driver	Transportation	SRCH_KO0,10	https://www.glassdoor.com/Salaries/ups-driver-salary-SRCH_KO0,10.htm	82146	43000	111000	778	242	210763	$82,146	$43KLow	$111KHigh	$778	$242 - $210,763
route-driver	Transportation	SRCH_KO0,12	https://www.glassdoor.com/Salaries/route-driver-salary-SRCH_KO0,12.htm	46827	31000	73000	5109	302	31267	$46,827	$31KLow	$73KHigh	$5,109	$302 - $31,267
dump-truck-driver	Transportation	SRCH_KO0,17	https://www.glassdoor.com/Salaries/dump-truck-driver-salary-SRCH_KO0,17.htm	49995	16000	80000				$49,995	$16KLow	$80KHigh	NaN	NaN - NaN
first-officer	Transportation	SRCH_KO0,13	https://www.glassdoor.com/Salaries/first-officer-salary-SRCH_KO0,13.htm	45356	28000	81000	5772	790	16309	$45,356	$28KLow	$81KHigh	$5,772	$790 - $16,309
school-bus-driver	Transportation	SRCH_KO0,17	https://www.glassdoor.com/Salaries/school-bus-driver-salary-SRCH_KO0,17.htm	37927	25000	55000	677	241	6730	$37,927	$25KLow	$55KHigh	$677	$241 - $6,730
tanker-truck-driver	Transportation	SRCH_KO0,19	https://www.glassdoor.com/Salaries/tanker-truck-driver-salary-SRCH_KO0,19.htm	72648	59000	81000	2055	2055	2055	$72,648	$59KLow	$81KHigh	$2,055	$2,055 - $2,055
shuttle-driver	Transportation	SRCH_KO0,14	https://www.glassdoor.com/Salaries/shuttle-driver-salary-SRCH_KO0,14.htm	34723	15000	52000	8897	273	10613	$34,723	$15KLow	$52KHigh	$8,897	$273 - $10,613
pilot	Transportation	SRCH_KO0,5	https://www.glassdoor.com/Salaries/pilot-salary-SRCH_KO0,5.htm	81915	41000	149000	5217	483	26553	$81,915	$41KLow	$149KHigh	$5,217	$483 - $26,553
drivers	Transportation	SRCH_KO0,7	https://www.glassdoor.com/Salaries/drivers-salary-SRCH_KO0,7.htm	45035	24000	66000	1815	502	12158	$45,035	$24KLow	$66KHigh	$1,815	$502 - $12,158
