job	name	srch	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw
medical-coding	Healthcare	SRCH_KO0,14	https://www.glassdoor.com/Salaries/medical-coding-salary-SRCH_KO0,14.htm	36698	26000	54000	995	215	3808	$36,698	$26KLow	$54KHigh	$995	$215 - $3,808
human-resource-manager	Human Resources	SRCH_KO0,22	https://www.glassdoor.com/Salaries/human-resource-manager-salary-SRCH_KO0,22.htm	76464	53000	107000	8476	2127	23487	$76,464	$53KLow	$107KHigh	$8,476	$2,127 - $23,487
human-resource	Human Resources	SRCH_KO0,14	https://www.glassdoor.com/Salaries/human-resource-salary-SRCH_KO0,14.htm	59385	39000	91000	5543	1039	19051	$59,385	$39KLow	$91KHigh	$5,543	$1,039 - $19,051
training-coordinator	Human Resources	SRCH_KO0,20	https://www.glassdoor.com/Salaries/training-coordinator-salary-SRCH_KO0,20.htm	51702	37000	73000	2445	634	8564	$51,702	$37KLow	$73KHigh	$2,445	$634 - $8,564
senior-recruiter	Human Resources	SRCH_KO0,16	https://www.glassdoor.com/Salaries/senior-recruiter-salary-SRCH_KO0,16.htm	61808	44000	93000	10705	1879	66295	$61,808	$44KLow	$93KHigh	$10,705	$1,879 - $66,295
human-resources-specialist	Human Resources	SRCH_KO0,26	https://www.glassdoor.com/Salaries/human-resources-specialist-salary-SRCH_KO0,26.htm	53820	37000	78000	3692	781	11489	$53,820	$37KLow	$78KHigh	$3,692	$781 - $11,489
human-resources-intern	Human Resources	SRCH_KO0,22	https://www.glassdoor.com/Salaries/human-resources-intern-salary-SRCH_KO0,22.htm							NaN	NaN	NaN	NaN	NaN - NaN
technical-recruiter	Human Resources	SRCH_KO0,19	https://www.glassdoor.com/Salaries/technical-recruiter-salary-SRCH_KO0,19.htm	51617	37000	82000	14136	2599	58423	$51,617	$37KLow	$82KHigh	$14,136	$2,599 - $58,423
human-resource-generalist	Human Resources	SRCH_KO0,25	https://www.glassdoor.com/Salaries/human-resource-generalist-salary-SRCH_KO0,25.htm	56130	41000	76000	3838	972	11157	$56,130	$41KLow	$76KHigh	$3,838	$972 - $11,157
training-manager	Human Resources	SRCH_KO0,16	https://www.glassdoor.com/Salaries/training-manager-salary-SRCH_KO0,16.htm	76313	49000	111000	8568	1912	31990	$76,313	$49KLow	$111KHigh	$8,568	$1,912 - $31,990
payroll-administrator	Human Resources	SRCH_KO0,21	https://www.glassdoor.com/Salaries/payroll-administrator-salary-SRCH_KO0,21.htm	40744	31000	54000	1568	442	6200	$40,744	$31KLow	$54KHigh	$1,568	$442 - $6,200
human-resources-administrator	Human Resources	SRCH_KO0,29	https://www.glassdoor.com/Salaries/human-resources-administrator-salary-SRCH_KO0,29.htm	50207	39000	67000	2980	944	9014	$50,207	$39KLow	$67KHigh	$2,980	$944 - $9,014
human-resources-representative	Human Resources	SRCH_KO0,30	https://www.glassdoor.com/Salaries/human-resources-representative-salary-SRCH_KO0,30.htm	48570	35000	69000	3513	883	8812	$48,570	$35KLow	$69KHigh	$3,513	$883 - $8,812
training-and-development-specialist	Human Resources	SRCH_KO0,35	https://www.glassdoor.com/Salaries/training-and-development-specialist-salary-SRCH_KO0,35.htm	56048	46000	76000	2036	3	10043	$56,048	$46KLow	$76KHigh	$2,036	$3 - $10,043
human-resources-entry-level	Human Resources	SRCH_KO0,27	https://www.glassdoor.com/Salaries/human-resources-entry-level-salary-SRCH_KO0,27.htm	55370	37000	84000	5261	994	17988	$55,370	$37KLow	$84KHigh	$5,261	$994 - $17,988
training	Human Resources	SRCH_KO0,8	https://www.glassdoor.com/Salaries/training-salary-SRCH_KO0,8.htm	63012	48000	86000	4735	1	10648	$63,012	$48KLow	$86KHigh	$4,735	$1 - $10,648
human-resources-administrative-coordinator	Human Resources	SRCH_KO0,42	https://www.glassdoor.com/Salaries/human-resources-administrative-coordinator-salary-SRCH_KO0,42.htm	43039	34000	54000	1517	415	7149	$43,039	$34KLow	$54KHigh	$1,517	$415 - $7,149
director-human-resources	Human Resources	SRCH_KO0,24	https://www.glassdoor.com/Salaries/director-human-resources-salary-SRCH_KO0,24.htm	106842	73000	150000	15985	4078	42347	$106,842	$73KLow	$150KHigh	$15,985	$4,078 - $42,347
recruiting-manager	Human Resources	SRCH_KO0,18	https://www.glassdoor.com/Salaries/recruiting-manager-salary-SRCH_KO0,18.htm	76315	52000	113000	15684	3511	92773	$76,315	$52KLow	$113KHigh	$15,684	$3,511 - $92,773
hr-associate	Human Resources	SRCH_KO0,12	https://www.glassdoor.com/Salaries/hr-associate-salary-SRCH_KO0,12.htm	51125	36000	71000	3786	974	9489	$51,125	$36KLow	$71KHigh	$3,786	$974 - $9,489
benefits-coordinator	Human Resources	SRCH_KO0,20	https://www.glassdoor.com/Salaries/benefits-coordinator-salary-SRCH_KO0,20.htm	47351	34000	62000	2515	577	12736	$47,351	$34KLow	$62KHigh	$2,515	$577 - $12,736
