job	location	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw	HistBin1	HistBin2	HistBin3	HistBin4	HistBin5	HistBin6	HistBin7	HistBin8	HistBin9	HistBin10
software-engineer	Memphis	https://www.glassdoor.com/Salaries/memphis-software-engineer-salary-SRCH_IL.0,7_IM551_KO8,25.htm	76739	55000	102000	6923	1630	17745	$76,739	"$55K
Low"	"$102K
High"	$6,923	$1,630 - $17,745	0.014705881141869097	0.08088249039785758	0.4117645072665318	0.24264705942906545	0.15808833551033227	0.022058801124578285	0.025735281704158237	0.018382361721449053	0.014705881141869097	0.011029400562289142
software-engineer	Detroit	https://www.glassdoor.com/Salaries/detroit-software-engineer-salary-SRCH_IL.0,7_IM236_KO8,25.htm	81358	59000	107000	7152	1689	18402	$81,358	"$59K
Low"	"$107K
High"	$7,152	$1,689 - $18,402	0.016465866194852075	0.026104407540764055	0.04417673026516029	0.3297189215434815	0.28714858186408104	0.14096374137072	0.08714866759100068	0.04578312085092012	0.016064268548412117	0.006425694230607985
software-engineer	Cincinnati	https://www.glassdoor.com/Salaries/cincinnati-software-engineer-salary-SRCH_IL.0,10_IM170_KO11,28.htm	79597	57000	105000	7086	1659	18231	$79,597	"$57K
Low"	"$105K
High"	$7,086	$1,659 - $18,231	0.007122498168034145	0.04558400103895159	0.2037037539305699	0.3190883263609875	0.1766380439119782	0.14387469273788472	0.0584046509038097	0.027065518565595862	0.00997151019878086	0.008547004183407503
software-engineer	Cleveland	https://www.glassdoor.com/Salaries/cleveland-software-engineer-salary-SRCH_IL.0,9_IM179_KO10,27.htm	74072	52000	98000	6774	1599	17312	$74,072	"$52K
Low"	"$98K
High"	$6,774	$1,599 - $17,312	0.016103059080336383	0.06280192522812676	0.10950073952406586	0.17552344249418397	0.25925925637860087	0.18035422021828648	0.11916255423152719	0.04025777733046915	0.02093396643406704	0.016103059080336383
software-engineer	Salt Lake City	https://www.glassdoor.com/Salaries/salt-lake-city-software-engineer-salary-SRCH_IL.0,14_IM755_KO15,32.htm	89046	64000	117000	7635	1748	19773	$89,046	"$64K
Low"	"$117K
High"	$7,635	$1,748 - $19,773	0.03326993658511521	0.052281328919466755	0.11501892362282687	0.24619777692762948	0.2205323972762549	0.1615970810397651	0.08650183512129955	0.05608360738633707	0.020912556187564397	0.00760455693374062
data-scientist	New York	https://www.glassdoor.com/Salaries/new-york-city-data-scientist-salary-SRCH_IL.0,13_IM615_KO14,28.htm	115815	92000	149000	11423	4147	26854	$115,815	"$92K
Low"	"$149K
High"	$11,423	$4,147 - $26,854	0.015202706842357444	0.020270249438459304	0.08445937266024711	0.15540544332998432	0.19763512966010788	0.19087837984728812	0.1706081304088288	0.10979738209345088	0.04054049887691861	0.015202706842357444
system-engineer	New York	https://www.glassdoor.com/Salaries/new-york-city-system-engineer-salary-SRCH_IL.0,13_IM615_KO14,29.htm	80321	60000	112000	6436	1537	28245	$80,321	"$60K
Low"	"$112K
High"	$6,436	$1,537 - $28,245	0.05157057593909223	0.13454834727983728	0.43233801915689773	0.13377273287346983	0.08142697486602926	0.06320263034450857	0.03528496479687679	0.03450948009191507	0.02016286173181641	0.013183412919557028
senior-software-engineer	New York	https://www.glassdoor.com/Salaries/new-york-city-senior-software-engineer-salary-SRCH_IL.0,13_IM615_KO14,38.htm	125132	91000	167000	10419	2474	27684	$125,132	"$91K
Low"	"$167K
High"	$10,419	$2,474 - $27,684	0.052510815382960964	0.09195145500652346	0.16257745386360473	0.20545745122060008	0.2024764690608404	0.13162117968819692	0.08461354213617972	0.0415042542636222	0.021554746665004374	0.005732632712466939
senior-data-scientist	New York	https://www.glassdoor.com/Salaries/new-york-city-senior-data-scientist-salary-SRCH_IL.0,13_IM615_KO14,35.htm	135603	109000	174000	12841	4662	30174	$135,603	"$109K
Low"	"$174K
High"	$12,841	$4,662 - $30,174	0.032786853104003665	0.08196713276000916	0.0737705260413874	0.13114762553077294	0.19672133173878026	0.2131147582907821	0.1475410520827748	0.09836055931201099	0.008196713276000916	0.01639344786347766
data-engineer	New York	https://www.glassdoor.com/Salaries/new-york-city-data-engineer-salary-SRCH_IL.0,13_IM615_KO14,27.htm	123070	92000	145000	10650	2903	25432	$123,070	"$92K
Low"	"$145K
High"	$10,650	$2,903 - $25,432	0.008403363321798984	0.012605033217994532	0.06302516608997266	0.08403363321798983	0.222689139792377	0.23529407889273998	0.17226891280276732	0.10084021868514048	0.07563034048441451	0.025210113494804842
data-analyst	New York	https://www.glassdoor.com/Salaries/new-york-city-data-analyst-salary-SRCH_IL.0,13_IM615_KO14,26.htm	71589	50000	96000	5009	1143	14438	$71,589	"$50K
Low"	"$96K
High"	$5,009	$1,143 - $14,438	0.07087711884909612	0.08631576440700853	0.18035085159297326	0.25333342453336616	0.20561402068771412	0.12210519062453529	0.047017670259694624	0.015438594891227495	0.011929825628070559	0.00701753852631387
software-developer	New York	https://www.glassdoor.com/Salaries/new-york-city-software-developer-salary-SRCH_IL.0,13_IM615_KO14,32.htm	90868	68000	121000	6790	1425	22638	$90,868	"$68K
Low"	"$121K
High"	$6,790	$1,425 - $22,638	0.02552355896398353	0.08682367211624976	0.17539266026178693	0.19720767683577198	0.26068947412806864	0.13765264509226646	0.07417110848944396	0.02748683746258943	0.012216404067642139	0.00283596258219702
senior-software-developer	New York	https://www.glassdoor.com/Salaries/new-york-city-senior-software-developer-salary-SRCH_IL.0,13_IM615_KO14,39.htm	110529	84000	144000	8225	1701	27143	$110,529	"$84K
Low"	"$144K
High"	$8,225	$1,701 - $27,143	0.02185162374124991	0.04657850374637506	0.1265094538743748	0.24956874192268763	0.2530189077487496	0.17711323542412472	0.08740664677634429	0.025877002752187867	0.0069005087653593224	0.005175375248546799
product-manager	New York	https://www.glassdoor.com/Salaries/new-york-city-product-manager-salary-SRCH_IL.0,13_IM615_KO14,29.htm	118988	86000	155000	12421	3947	31786	$118,988	"$86K
Low"	"$155K
High"	$12,421	$3,947 - $31,786	0.014104375350835944	0.06299944166343162	0.15702861066900456	0.2289609295750998	0.23084159605818586	0.18570767803848542	0.07663386969301231	0.030089278679800293	0.00799247474864178	0.005641745523502457
